charger_id,station_id,city_id,business_date,attempts_on_day,started_on_day,tech_fails_on_day,fail_flag,users_on_day
CH-DL-04-3,ST-DL-04,DL,2025-12-01,5,5,0,0,5
CH-DL-05-1,ST-DL-05,DL,2025-12-01,6,6,0,0,6
CH-DL-05-2,ST-DL-05,DL,2025-12-01,8,7,1,1,8
CH-DL-05-3,ST-DL-05,DL,2025-12-01,5,5,0,0,5
CH-SH-01-1,ST-SH-01,SH,2025-12-01,8,8,0,0,8
CH-SH-01-2,ST-SH-01,SH,2025-12-01,15,15,0,0,15
CH-SH-01-3,ST-SH-01,SH,2025-12-01,3,3,0,0,3
CH-SH-02-1,ST-SH-02,SH,2025-12-01,12,12,0,0,12
CH-SH-02-2,ST-SH-02,SH,2025-12-01,15,15,0,0,15
CH-SH-02-3,ST-SH-02,SH,2025-12-01,5,5,0,0,5
CH-SH-03-1,ST-SH-03,SH,2025-12-01,6,5,1,1,6
CH-SH-03-2,ST-SH-03,SH,2025-12-01,4,4,0,0,4
CH-SH-03-3,ST-SH-03,SH,2025-12-01,4,4,0,0,4
CH-SH-04-1,ST-SH-04,SH,2025-12-01,14,14,0,0,14
CH-SH-04-2,ST-SH-04,SH,2025-12-01,23,23,0,0,21
CH-SH-04-3,ST-SH-04,SH,2025-12-01,7,6,1,1,7
CH-SH-05-1,ST-SH-05,SH,2025-12-01,6,6,0,0,6
CH-SH-05-2,ST-SH-05,SH,2025-12-01,11,11,0,0,11
CH-SH-05-3,ST-SH-05,SH,2025-12-01,3,3,0,0,3
CH-SY-01-1,ST-SY-01,SY,2025-12-01,7,7,0,0,7
CH-SY-01-2,ST-SY-01,SY,2025-12-01,6,6,0,0,6
CH-SY-01-3,ST-SY-01,SY,2025-12-01,5,5,0,0,5
CH-SY-02-1,ST-SY-02,SY,2025-12-01,8,8,0,0,8
CH-SY-02-2,ST-SY-02,SY,2025-12-01,16,15,1,1,16
CH-SY-02-3,ST-SY-02,SY,2025-12-01,5,5,0,0,5
CH-SY-03-1,ST-SY-03,SY,2025-12-01,2,2,0,0,2
CH-SY-03-2,ST-SY-03,SY,2025-12-01,1,1,0,0,1
CH-SY-03-3,ST-SY-03,SY,2025-12-01,1,1,0,0,1
CH-SY-04-1,ST-SY-04,SY,2025-12-01,21,19,2,1,21
CH-SY-04-2,ST-SY-04,SY,2025-12-01,20,19,1,1,20
CH-SY-04-3,ST-SY-04,SY,2025-12-01,6,6,0,0,5
CH-SY-05-1,ST-SY-05,SY,2025-12-01,7,7,0,0,7
CH-SY-05-2,ST-SY-05,SY,2025-12-01,12,12,0,0,12
CH-SY-05-3,ST-SY-05,SY,2025-12-01,3,3,0,0,3
CH-SZ-01-1,ST-SZ-01,SZ,2025-12-01,13,12,1,1,13
CH-SZ-01-2,ST-SZ-01,SZ,2025-12-01,12,12,0,0,12
CH-SZ-01-3,ST-SZ-01,SZ,2025-12-01,7,7,0,0,7
CH-SZ-02-1,ST-SZ-02,SZ,2025-12-01,8,8,0,0,8
CH-SZ-02-2,ST-SZ-02,SZ,2025-12-01,20,20,0,0,20
CH-SZ-02-3,ST-SZ-02,SZ,2025-12-01,4,4,0,0,4
CH-SZ-03-1,ST-SZ-03,SZ,2025-12-01,11,10,1,1,11
CH-SZ-03-2,ST-SZ-03,SZ,2025-12-01,3,2,1,1,3
CH-SZ-03-3,ST-SZ-03,SZ,2025-12-01,3,3,0,0,3
CH-SZ-04-1,ST-SZ-04,SZ,2025-12-01,12,12,0,0,12
CH-SZ-04-2,ST-SZ-04,SZ,2025-12-01,20,20,0,0,19
CH-SZ-04-3,ST-SZ-04,SZ,2025-12-01,6,5,1,1,6
CH-SZ-05-1,ST-SZ-05,SZ,2025-12-01,8,8,0,0,8
CH-SZ-05-2,ST-SZ-05,SZ,2025-12-01,9,9,0,0,9
CH-SZ-05-3,ST-SZ-05,SZ,2025-12-01,4,4,0,0,4
CH-BJ-01-1,ST-BJ-01,BJ,2025-12-02,7,7,0,0,7
CH-BJ-01-2,ST-BJ-01,BJ,2025-12-02,11,11,0,0,11
CH-BJ-01-3,ST-BJ-01,BJ,2025-12-02,4,4,0,0,4
CH-BJ-02-1,ST-BJ-02,BJ,2025-12-02,8,7,1,1,8
CH-BJ-02-2,ST-BJ-02,BJ,2025-12-02,6,6,0,0,6
CH-BJ-02-3,ST-BJ-02,BJ,2025-12-02,5,5,0,0,5
CH-BJ-03-1,ST-BJ-03,BJ,2025-12-02,10,10,0,0,10
CH-BJ-03-2,ST-BJ-03,BJ,2025-12-02,3,3,0,0,3
CH-BJ-03-3,ST-BJ-03,BJ,2025-12-02,2,2,0,0,2
CH-BJ-04-1,ST-BJ-04,BJ,2025-12-02,16,16,0,0,16
CH-BJ-04-2,ST-BJ-04,BJ,2025-12-02,19,19,0,0,19
CH-BJ-04-3,ST-BJ-04,BJ,2025-12-02,5,5,0,0,5
CH-BJ-05-1,ST-BJ-05,BJ,2025-12-02,6,6,0,0,6
CH-BJ-05-2,ST-BJ-05,BJ,2025-12-02,8,8,0,0,8
CH-BJ-05-3,ST-BJ-05,BJ,2025-12-02,2,2,0,0,2
CH-DL-01-1,ST-DL-01,DL,2025-12-02,10,10,0,0,10
CH-DL-01-2,ST-DL-01,DL,2025-12-02,9,9,0,0,9
CH-DL-01-3,ST-DL-01,DL,2025-12-02,4,4,0,0,4
CH-DL-02-1,ST-DL-02,DL,2025-12-02,8,6,2,1,8
CH-DL-02-2,ST-DL-02,DL,2025-12-02,15,15,0,0,15
CH-DL-02-3,ST-DL-02,DL,2025-12-02,5,5,0,0,5
CH-DL-03-1,ST-DL-03,DL,2025-12-02,7,7,0,0,7
CH-DL-03-2,ST-DL-03,DL,2025-12-02,2,2,0,0,2
CH-DL-03-3,ST-DL-03,DL,2025-12-02,1,1,0,0,1
CH-DL-04-1,ST-DL-04,DL,2025-12-02,13,13,0,0,12
CH-DL-04-2,ST-DL-04,DL,2025-12-02,14,13,1,1,14
CH-DL-04-3,ST-DL-04,DL,2025-12-02,4,4,0,0,4
CH-DL-05-1,ST-DL-05,DL,2025-12-02,10,8,2,1,10
CH-DL-05-2,ST-DL-05,DL,2025-12-02,6,6,0,0,6
CH-DL-05-3,ST-DL-05,DL,2025-12-02,3,3,0,0,3
CH-SH-01-1,ST-SH-01,SH,2025-12-02,10,10,0,0,10
CH-SH-01-2,ST-SH-01,SH,2025-12-02,12,11,1,1,12
CH-SH-01-3,ST-SH-01,SH,2025-12-02,5,5,0,0,5
CH-SH-02-1,ST-SH-02,SH,2025-12-02,10,10,0,0,10
CH-SH-02-2,ST-SH-02,SH,2025-12-02,16,15,1,1,16
CH-SH-02-3,ST-SH-02,SH,2025-12-02,6,5,1,1,6
CH-SH-03-1,ST-SH-03,SH,2025-12-02,10,7,3,1,10
CH-SH-03-2,ST-SH-03,SH,2025-12-02,2,2,0,0,2
CH-SH-03-3,ST-SH-03,SH,2025-12-02,2,2,0,0,2
CH-SH-04-1,ST-SH-04,SH,2025-12-02,20,17,3,1,19
CH-SH-04-2,ST-SH-04,SH,2025-12-02,20,20,0,0,20
CH-SH-04-3,ST-SH-04,SH,2025-12-02,5,5,0,0,5
CH-SH-05-1,ST-SH-05,SH,2025-12-02,12,11,1,1,12
CH-SH-05-2,ST-SH-05,SH,2025-12-02,12,12,0,0,12
CH-SH-05-3,ST-SH-05,SH,2025-12-02,3,3,0,0,3
CH-SY-01-1,ST-SY-01,SY,2025-12-02,7,6,1,1,7
CH-SY-01-2,ST-SY-01,SY,2025-12-02,10,10,0,0,10
CH-SY-01-3,ST-SY-01,SY,2025-12-02,4,4,0,0,4
CH-SY-02-1,ST-SY-02,SY,2025-12-02,7,7,0,0,7
CH-SY-02-2,ST-SY-02,SY,2025-12-02,10,9,1,1,10
CH-SY-02-3,ST-SY-02,SY,2025-12-02,4,4,0,0,4
CH-SY-03-1,ST-SY-03,SY,2025-12-02,5,5,0,0,5
CH-SY-03-2,ST-SY-03,SY,2025-12-02,2,2,0,0,2
CH-SY-03-3,ST-SY-03,SY,2025-12-02,3,3,0,0,3
CH-SY-04-1,ST-SY-04,SY,2025-12-02,11,10,1,1,11
CH-SY-04-2,ST-SY-04,SY,2025-12-02,17,17,0,0,17
CH-SY-04-3,ST-SY-04,SY,2025-12-02,5,4,1,1,5
CH-SY-05-1,ST-SY-05,SY,2025-12-02,6,6,0,0,6
CH-SY-05-2,ST-SY-05,SY,2025-12-02,10,10,0,0,10
CH-SY-05-3,ST-SY-05,SY,2025-12-02,4,4,0,0,4
CH-SZ-01-1,ST-SZ-01,SZ,2025-12-02,13,13,0,0,13
CH-SZ-01-2,ST-SZ-01,SZ,2025-12-02,13,13,0,0,13
CH-SZ-01-3,ST-SZ-01,SZ,2025-12-02,3,3,0,0,3
CH-SZ-02-1,ST-SZ-02,SZ,2025-12-02,6,6,0,0,6
CH-SZ-02-2,ST-SZ-02,SZ,2025-12-02,12,12,0,0,12
CH-SZ-02-3,ST-SZ-02,SZ,2025-12-02,4,4,0,0,4
CH-SZ-03-1,ST-SZ-03,SZ,2025-12-02,7,7,0,0,7
CH-SZ-03-2,ST-SZ-03,SZ,2025-12-02,3,3,0,0,3
CH-SZ-03-3,ST-SZ-03,SZ,2025-12-02,2,2,0,0,2
CH-SZ-04-1,ST-SZ-04,SZ,2025-12-02,15,15,0,0,15
CH-SZ-04-2,ST-SZ-04,SZ,2025-12-02,23,22,1,1,22
CH-SZ-04-3,ST-SZ-04,SZ,2025-12-02,5,5,0,0,5
CH-SZ-05-1,ST-SZ-05,SZ,2025-12-02,9,9,0,0,9
CH-SZ-05-2,ST-SZ-05,SZ,2025-12-02,11,11,0,0,11
CH-SZ-05-3,ST-SZ-05,SZ,2025-12-02,3,3,0,0,3
CH-BJ-01-1,ST-BJ-01,BJ,2025-12-03,6,6,0,0,6
CH-BJ-01-2,ST-BJ-01,BJ,2025-12-03,6,6,0,0,6
CH-BJ-01-3,ST-BJ-01,BJ,2025-12-03,3,3,0,0,3
CH-BJ-02-1,ST-BJ-02,BJ,2025-12-03,8,8,0,0,8
CH-BJ-02-2,ST-BJ-02,BJ,2025-12-03,9,9,0,0,9
CH-BJ-02-3,ST-BJ-02,BJ,2025-12-03,6,6,0,0,6
CH-BJ-03-1,ST-BJ-03,BJ,2025-12-03,4,4,0,0,4
CH-BJ-03-2,ST-BJ-03,BJ,2025-12-03,2,2,0,0,2
CH-BJ-03-3,ST-BJ-03,BJ,2025-12-03,2,2,0,0,2
CH-BJ-04-1,ST-BJ-04,BJ,2025-12-03,17,14,3,1,17
CH-BJ-04-2,ST-BJ-04,BJ,2025-12-03,17,16,1,1,17
CH-BJ-04-3,ST-BJ-04,BJ,2025-12-03,4,4,0,0,4
CH-BJ-05-1,ST-BJ-05,BJ,2025-12-03,3,3,0,0,3
CH-BJ-05-2,ST-BJ-05,BJ,2025-12-03,6,6,0,0,6
CH-BJ-05-3,ST-BJ-05,BJ,2025-12-03,3,3,0,0,3
CH-DL-01-1,ST-DL-01,DL,2025-12-03,10,10,0,0,10
CH-DL-01-2,ST-DL-01,DL,2025-12-03,9,9,0,0,9
CH-DL-01-3,ST-DL-01,DL,2025-12-03,3,3,0,0,3
CH-DL-02-1,ST-DL-02,DL,2025-12-03,12,12,0,0,12
CH-DL-02-2,ST-DL-02,DL,2025-12-03,11,10,1,1,11
CH-DL-02-3,ST-DL-02,DL,2025-12-03,4,4,0,0,4
CH-DL-03-1,ST-DL-03,DL,2025-12-03,8,7,1,1,8
CH-DL-03-2,ST-DL-03,DL,2025-12-03,2,2,0,0,2
CH-DL-03-3,ST-DL-03,DL,2025-12-03,2,2,0,0,2
CH-DL-04-1,ST-DL-04,DL,2025-12-03,15,14,1,1,15
CH-DL-04-2,ST-DL-04,DL,2025-12-03,16,15,1,1,15
CH-DL-04-3,ST-DL-04,DL,2025-12-03,4,3,1,1,4
CH-DL-05-1,ST-DL-05,DL,2025-12-03,9,7,2,1,9
CH-DL-05-2,ST-DL-05,DL,2025-12-03,9,9,0,0,9
CH-DL-05-3,ST-DL-05,DL,2025-12-03,3,3,0,0,3
CH-SH-01-1,ST-SH-01,SH,2025-12-03,9,8,1,1,9
CH-SH-01-2,ST-SH-01,SH,2025-12-03,14,14,0,0,14
CH-SH-01-3,ST-SH-01,SH,2025-12-03,5,5,0,0,5
CH-SH-02-1,ST-SH-02,SH,2025-12-03,9,8,1,1,9
CH-SH-02-2,ST-SH-02,SH,2025-12-03,14,14,0,0,14
CH-SH-02-3,ST-SH-02,SH,2025-12-03,5,5,0,0,5
CH-SH-03-1,ST-SH-03,SH,2025-12-03,9,9,0,0,9
CH-SH-03-2,ST-SH-03,SH,2025-12-03,3,3,0,0,3
CH-SH-03-3,ST-SH-03,SH,2025-12-03,3,3,0,0,3
CH-SH-04-1,ST-SH-04,SH,2025-12-03,17,17,0,0,17
CH-SH-04-2,ST-SH-04,SH,2025-12-03,24,24,0,0,24
CH-SH-04-3,ST-SH-04,SH,2025-12-03,6,6,0,0,6
CH-SH-05-1,ST-SH-05,SH,2025-12-03,8,8,0,0,8
CH-SH-05-2,ST-SH-05,SH,2025-12-03,8,8,0,0,8
CH-SH-05-3,ST-SH-05,SH,2025-12-03,5,4,1,1,5
CH-SY-01-1,ST-SY-01,SY,2025-12-03,11,10,1,1,11
CH-SY-01-2,ST-SY-01,SY,2025-12-03,14,14,0,0,14
CH-SY-01-3,ST-SY-01,SY,2025-12-03,4,4,0,0,4
CH-SY-02-1,ST-SY-02,SY,2025-12-03,13,13,0,0,13
CH-SY-02-2,ST-SY-02,SY,2025-12-03,12,12,0,0,12
CH-SY-02-3,ST-SY-02,SY,2025-12-03,4,4,0,0,4
CH-SY-03-1,ST-SY-03,SY,2025-12-03,9,9,0,0,9
CH-SY-03-2,ST-SY-03,SY,2025-12-03,2,2,0,0,2
CH-SY-03-3,ST-SY-03,SY,2025-12-03,3,3,0,0,3
CH-SY-04-1,ST-SY-04,SY,2025-12-03,19,18,1,1,18
CH-SY-04-2,ST-SY-04,SY,2025-12-03,19,19,0,0,19
CH-SY-04-3,ST-SY-04,SY,2025-12-03,5,5,0,0,5
CH-SY-05-1,ST-SY-05,SY,2025-12-03,7,6,1,1,7
CH-SY-05-2,ST-SY-05,SY,2025-12-03,9,9,0,0,9
CH-SY-05-3,ST-SY-05,SY,2025-12-03,6,6,0,0,6
CH-SZ-01-1,ST-SZ-01,SZ,2025-12-03,9,7,2,1,9
CH-SZ-01-2,ST-SZ-01,SZ,2025-12-03,10,9,1,1,10
CH-SZ-01-3,ST-SZ-01,SZ,2025-12-03,6,6,0,0,6
CH-SZ-02-1,ST-SZ-02,SZ,2025-12-03,10,10,0,0,10
CH-SZ-02-2,ST-SZ-02,SZ,2025-12-03,14,14,0,0,14
CH-SZ-02-3,ST-SZ-02,SZ,2025-12-03,3,3,0,0,3
CH-SZ-03-1,ST-SZ-03,SZ,2025-12-03,5,5,0,0,5
CH-SZ-03-2,ST-SZ-03,SZ,2025-12-03,2,2,0,0,2
CH-SZ-03-3,ST-SZ-03,SZ,2025-12-03,2,2,0,0,2
CH-SZ-04-1,ST-SZ-04,SZ,2025-12-03,12,11,1,1,12
CH-SZ-04-2,ST-SZ-04,SZ,2025-12-03,20,20,0,0,19
CH-SZ-04-3,ST-SZ-04,SZ,2025-12-03,4,3,1,1,4
CH-SZ-05-1,ST-SZ-05,SZ,2025-12-03,6,6,0,0,6
CH-SZ-05-2,ST-SZ-05,SZ,2025-12-03,9,9,0,0,9
CH-SZ-05-3,ST-SZ-05,SZ,2025-12-03,2,2,0,0,2
CH-BJ-01-1,ST-BJ-01,BJ,2025-12-04,9,8,1,1,9
CH-BJ-01-2,ST-BJ-01,BJ,2025-12-04,7,6,1,1,7
CH-BJ-01-3,ST-BJ-01,BJ,2025-12-04,5,5,0,0,5
CH-BJ-02-1,ST-BJ-02,BJ,2025-12-04,7,6,1,1,7
CH-BJ-02-2,ST-BJ-02,BJ,2025-12-04,9,9,0,0,9
CH-BJ-02-3,ST-BJ-02,BJ,2025-12-04,2,2,0,0,2
CH-BJ-03-1,ST-BJ-03,BJ,2025-12-04,5,5,0,0,5
CH-BJ-03-2,ST-BJ-03,BJ,2025-12-04,1,1,0,0,1
CH-BJ-03-3,ST-BJ-03,BJ,2025-12-04,1,1,0,0,1
CH-BJ-04-1,ST-BJ-04,BJ,2025-12-04,14,13,1,1,14
CH-BJ-04-2,ST-BJ-04,BJ,2025-12-04,14,14,0,0,14
CH-BJ-04-3,ST-BJ-04,BJ,2025-12-04,5,5,0,0,5
CH-BJ-05-1,ST-BJ-05,BJ,2025-12-04,4,4,0,0,4
CH-BJ-05-2,ST-BJ-05,BJ,2025-12-04,6,6,0,0,6
CH-BJ-05-3,ST-BJ-05,BJ,2025-12-04,3,3,0,0,3
CH-DL-01-1,ST-DL-01,DL,2025-12-04,9,9,0,0,9
CH-DL-01-2,ST-DL-01,DL,2025-12-04,10,9,1,1,10
CH-DL-01-3,ST-DL-01,DL,2025-12-04,6,6,0,0,6
CH-DL-02-1,ST-DL-02,DL,2025-12-04,14,13,1,1,14
CH-DL-02-2,ST-DL-02,DL,2025-12-04,13,13,0,0,13
CH-DL-02-3,ST-DL-02,DL,2025-12-04,3,3,0,0,3
CH-DL-03-1,ST-DL-03,DL,2025-12-04,8,8,0,0,8
CH-DL-03-2,ST-DL-03,DL,2025-12-04,2,2,0,0,2
CH-DL-03-3,ST-DL-03,DL,2025-12-04,3,3,0,0,3
CH-DL-04-1,ST-DL-04,DL,2025-12-04,11,11,0,0,11
CH-DL-04-2,ST-DL-04,DL,2025-12-04,18,18,0,0,18
CH-DL-04-3,ST-DL-04,DL,2025-12-04,3,3,0,0,3
CH-DL-05-1,ST-DL-05,DL,2025-12-04,7,7,0,0,7
CH-DL-05-2,ST-DL-05,DL,2025-12-04,8,8,0,0,8
CH-DL-05-3,ST-DL-05,DL,2025-12-04,4,4,0,0,4
CH-SH-01-1,ST-SH-01,SH,2025-12-04,6,5,1,1,6
CH-SH-01-2,ST-SH-01,SH,2025-12-04,8,8,0,0,8
CH-SH-01-3,ST-SH-01,SH,2025-12-04,3,3,0,0,3
CH-SH-02-1,ST-SH-02,SH,2025-12-04,10,10,0,0,10
CH-SH-02-2,ST-SH-02,SH,2025-12-04,16,16,0,0,16
CH-SH-02-3,ST-SH-02,SH,2025-12-04,6,6,0,0,6
CH-SH-03-1,ST-SH-03,SH,2025-12-04,9,9,0,0,9
CH-SH-03-2,ST-SH-03,SH,2025-12-04,3,3,0,0,3
CH-SH-03-3,ST-SH-03,SH,2025-12-04,3,3,0,0,3
CH-SH-04-1,ST-SH-04,SH,2025-12-04,13,12,1,1,13
CH-SH-04-2,ST-SH-04,SH,2025-12-04,13,13,0,0,13
CH-SH-04-3,ST-SH-04,SH,2025-12-04,3,3,0,0,3
CH-SH-05-1,ST-SH-05,SH,2025-12-04,11,11,0,0,11
CH-SH-05-2,ST-SH-05,SH,2025-12-04,8,8,0,0,8
CH-SH-05-3,ST-SH-05,SH,2025-12-04,3,3,0,0,3
CH-SY-01-1,ST-SY-01,SY,2025-12-04,7,6,1,1,7
CH-SY-01-2,ST-SY-01,SY,2025-12-04,7,7,0,0,7
CH-SY-01-3,ST-SY-01,SY,2025-12-04,4,4,0,0,4
CH-SY-02-1,ST-SY-02,SY,2025-12-04,17,17,0,0,17
CH-SY-02-2,ST-SY-02,SY,2025-12-04,16,16,0,0,16
CH-SY-02-3,ST-SY-02,SY,2025-12-04,4,4,0,0,4
CH-SY-03-1,ST-SY-03,SY,2025-12-04,6,6,0,0,6
CH-SY-03-2,ST-SY-03,SY,2025-12-04,4,4,0,0,4
CH-SY-03-3,ST-SY-03,SY,2025-12-04,4,4,0,0,4
CH-SY-04-1,ST-SY-04,SY,2025-12-04,19,19,0,0,19
CH-SY-04-2,ST-SY-04,SY,2025-12-04,19,18,1,1,19
CH-SY-04-3,ST-SY-04,SY,2025-12-04,4,4,0,0,4
CH-SY-05-1,ST-SY-05,SY,2025-12-04,5,5,0,0,5
CH-SY-05-2,ST-SY-05,SY,2025-12-04,7,7,0,0,7
CH-SY-05-3,ST-SY-05,SY,2025-12-04,3,3,0,0,3
CH-SZ-01-1,ST-SZ-01,SZ,2025-12-04,8,8,0,0,8
CH-SZ-01-2,ST-SZ-01,SZ,2025-12-04,12,11,1,1,12
CH-SZ-01-3,ST-SZ-01,SZ,2025-12-04,3,3,0,0,3
CH-SZ-02-1,ST-SZ-02,SZ,2025-12-04,8,8,0,0,8
CH-SZ-02-2,ST-SZ-02,SZ,2025-12-04,16,15,1,1,16
CH-SZ-02-3,ST-SZ-02,SZ,2025-12-04,4,4,0,0,4
CH-SZ-03-1,ST-SZ-03,SZ,2025-12-04,7,6,1,1,7
CH-SZ-03-2,ST-SZ-03,SZ,2025-12-04,1,1,0,0,1
CH-SZ-03-3,ST-SZ-03,SZ,2025-12-04,2,2,0,0,2
CH-SZ-04-1,ST-SZ-04,SZ,2025-12-04,17,17,0,0,16
CH-SZ-04-2,ST-SZ-04,SZ,2025-12-04,15,15,0,0,15
CH-SZ-04-3,ST-SZ-04,SZ,2025-12-04,4,4,0,0,4
CH-SZ-05-1,ST-SZ-05,SZ,2025-12-04,8,7,1,1,8
CH-SZ-05-2,ST-SZ-05,SZ,2025-12-04,8,8,0,0,8
CH-SZ-05-3,ST-SZ-05,SZ,2025-12-04,4,4,0,0,4
CH-BJ-01-1,ST-BJ-01,BJ,2025-12-05,5,5,0,0,5
CH-BJ-01-2,ST-BJ-01,BJ,2025-12-05,9,9,0,0,9
CH-BJ-01-3,ST-BJ-01,BJ,2025-12-05,4,4,0,0,4
CH-BJ-02-1,ST-BJ-02,BJ,2025-12-05,10,9,1,1,10
CH-BJ-02-2,ST-BJ-02,BJ,2025-12-05,10,10,0,0,10
CH-BJ-02-3,ST-BJ-02,BJ,2025-12-05,5,5,0,0,5
CH-BJ-03-1,ST-BJ-03,BJ,2025-12-05,5,3,2,1,5
CH-BJ-03-2,ST-BJ-03,BJ,2025-12-05,3,3,0,0,3
CH-BJ-03-3,ST-BJ-03,BJ,2025-12-05,2,2,0,0,2
CH-BJ-04-1,ST-BJ-04,BJ,2025-12-05,14,13,1,1,14
CH-BJ-04-2,ST-BJ-04,BJ,2025-12-05,15,14,1,1,15
CH-BJ-04-3,ST-BJ-04,BJ,2025-12-05,3,3,0,0,3
CH-BJ-05-1,ST-BJ-05,BJ,2025-12-05,2,2,0,0,2
CH-BJ-05-2,ST-BJ-05,BJ,2025-12-05,8,8,0,0,8
CH-BJ-05-3,ST-BJ-05,BJ,2025-12-05,3,3,0,0,3
CH-DL-01-1,ST-DL-01,DL,2025-12-05,8,8,0,0,8
CH-DL-01-2,ST-DL-01,DL,2025-12-05,9,9,0,0,9
CH-DL-01-3,ST-DL-01,DL,2025-12-05,4,4,0,0,4
CH-DL-02-1,ST-DL-02,DL,2025-12-05,11,10,1,1,11
CH-DL-02-2,ST-DL-02,DL,2025-12-05,11,11,0,0,11
CH-DL-02-3,ST-DL-02,DL,2025-12-05,4,4,0,0,4
CH-DL-03-1,ST-DL-03,DL,2025-12-05,7,5,2,1,7
CH-DL-03-2,ST-DL-03,DL,2025-12-05,2,2,0,0,2
CH-DL-03-3,ST-DL-03,DL,2025-12-05,2,2,0,0,2
CH-DL-04-1,ST-DL-04,DL,2025-12-05,15,13,2,1,15
CH-DL-04-2,ST-DL-04,DL,2025-12-05,18,18,0,0,18
CH-DL-04-3,ST-DL-04,DL,2025-12-05,7,6,1,1,7
CH-DL-05-1,ST-DL-05,DL,2025-12-05,8,6,2,1,8
CH-DL-05-2,ST-DL-05,DL,2025-12-05,7,7,0,0,7
CH-DL-05-3,ST-DL-05,DL,2025-12-05,3,3,0,0,3
CH-SH-01-1,ST-SH-01,SH,2025-12-05,9,9,0,0,9
CH-SH-01-2,ST-SH-01,SH,2025-12-05,9,9,0,0,9
CH-SH-01-3,ST-SH-01,SH,2025-12-05,6,6,0,0,6
CH-SH-02-1,ST-SH-02,SH,2025-12-05,10,10,0,0,10
CH-SH-02-2,ST-SH-02,SH,2025-12-05,18,18,0,0,18
CH-SH-02-3,ST-SH-02,SH,2025-12-05,4,4,0,0,4
CH-SH-03-1,ST-SH-03,SH,2025-12-05,10,10,0,0,10
CH-SH-03-2,ST-SH-03,SH,2025-12-05,1,1,0,0,1
CH-SH-03-3,ST-SH-03,SH,2025-12-05,2,2,0,0,2
CH-SH-04-1,ST-SH-04,SH,2025-12-05,15,15,0,0,15
CH-SH-04-2,ST-SH-04,SH,2025-12-05,16,16,0,0,16
CH-SH-04-3,ST-SH-04,SH,2025-12-05,4,4,0,0,4
CH-SH-05-1,ST-SH-05,SH,2025-12-05,8,8,0,0,8
CH-SH-05-2,ST-SH-05,SH,2025-12-05,13,13,0,0,13
CH-SH-05-3,ST-SH-05,SH,2025-12-05,3,3,0,0,3
CH-SY-01-1,ST-SY-01,SY,2025-12-05,10,9,1,1,10
CH-SY-01-2,ST-SY-01,SY,2025-12-05,9,9,0,0,9
CH-SY-01-3,ST-SY-01,SY,2025-12-05,5,5,0,0,5
CH-SY-02-1,ST-SY-02,SY,2025-12-05,13,12,1,1,13
CH-SY-02-2,ST-SY-02,SY,2025-12-05,19,18,1,1,19
CH-SY-02-3,ST-SY-02,SY,2025-12-05,5,5,0,0,5
CH-SY-03-1,ST-SY-03,SY,2025-12-05,7,7,0,0,7
CH-SY-03-2,ST-SY-03,SY,2025-12-05,3,3,0,0,3
CH-SY-03-3,ST-SY-03,SY,2025-12-05,3,3,0,0,3
